id,root_pg,"alternate_view",client_id,rg_id,desc_pg,order,access_level,"type","v20","status","name","short_name","criteria","replaced_by_ids","notes",minutes,iaap_credits,price,"category","description","authors","version","keywords"
90,11222,"N",NULL,138,0,9001,100,"user guide","N","retired","User Guide: WorldSpace Attest Mobile (Android and iOS)","WS Attest Mobile User Guide",NULL,NULL,"(Viewable by everyone.)",NULL,NULL,NULL,"Mobile App Accessibility",NULL,"Paul Bohman",NULL,NULL
91,7632,"N",NULL,42,0,9002,100,"user guide","N","active","User Guide: Axe Monitor","Axe Monitor User Guide",NULL,NULL,"(Viewable by everyone.)",NULL,NULL,NULL,"Deque Products",NULL,"Deque",NULL,NULL
92,3103,"N",NULL,60,0,9003,0,"user guide","N","retired","User Guide: Deque Accessibility Reports","Deque A11Y Reports User Guide",NULL,NULL,"(Viewable by everyone.) This is the documentation for the Excel report that Matt Feldman put together. This report has since been moved into one of our software products. However, this user guide might still be in use by some clients. Sachin would know that.",NULL,NULL,NULL,"Web Accessibility",NULL,NULL,NULL,NULL
93,6260,"N",NULL,81,0,9004,0,"user guide","N","in development","aXe Web Accessibility Checker Browser Extension","aXe Browser Extension",NULL,NULL,"(Viewable by everyone.)",NULL,NULL,NULL,"Deque Products",NULL,NULL,"2.0",NULL
94,13849,"N",NULL,127,0,2670,1000,"course","Y","active","MS Word Accessibility Techniques","Word 2.0",NULL,NULL,"",75,1.25,NULL,"Document Accessibility","Learn how to create accessible Word documents.","Karina Boycheva","2.0","word, microsoft, office, documents, content, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
95,14188,"N",NULL,133,0,2680,1000,"course","Y","active","MS PowerPoint Accessibility Techniques","PowerPoint 2.0",NULL,NULL,"",45,0.75,NULL,"Document Accessibility","Learn how to create accessible PowerPoint documents.","Karina Boycheva","2.0","powerpoint, slides, microsoft, office, documents, content, forms, charts, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
96,24988,"N",NULL,128,0,2690,1000,"course","Y","active","Basic PDF Accessibility","PDF 2.0",NULL,NULL,"",45,0.75,45.00,"Document Accessibility","Learn how to create accessible PDF documents.","Karina Boycheva","2.0","pdf, adobe, acrobat, tagged pdf, documents, office, content, forms, charts, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
97,14208,"N",NULL,132,0,2700,0,"course","Y","in development","InDesign Accessibility","InDesign 2.0",NULL,NULL,"",NULL,2.00,NULL,"Document Accessibility","How to use InDesign to create accessible output.",NULL,"2.0","InDesign, accessibility, documents"
98,14234,"N",NULL,130,0,2710,0,"course","Y","in development","EPUB Accessibility Techniques","EPUB 2.0",NULL,NULL,"",NULL,2.00,NULL,"Document Accessibility","Learn how to create accessible EPUB documents.","Kena Anderson, Timothy Bohman","2.0","epub, office, pdf, readers, documents, content, forms, charts, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
99,14429,"N",NULL,129,14803,1130,1000,"course","Y","retired","iOS Native Mobile App Accessibility","iOS Apps",NULL,NULL,"",120,2.00,45.00,"Mobile App Accessibility","Learn how to make native mobile iOS apps accessible.",NULL,"1.0","ios, native mobile, apps, mobile, phone, tablet, software, accessibility, web accessibility, disabilities"
100,14924,"N",NULL,136,15214,1075,1000,"course","Y","active","Responsive Design and Zoom","Responsive Zoom 2.0",NULL,NULL,"",30,0.50,45.00,"Web Accessibility","Create accessible responsive designs for devices and viewports of any size and orientation, and for users with low vision who use zoom features.",NULL,"2.0","visual design, responsive design, mobile, phone, tablet, zoom, low vision, accessibility, web accessibility, disabilities"
101,0,"N",NULL,145,0,9100,0,"course","Y","in development","Accessibility Procurement","Accessibility Procurement 2.0",NULL,NULL,"New 2.0 Module ?",NULL,NULL,NULL,"Accessibility Program Management",NULL,NULL,"1.0",NULL
102,15510,"N",NULL,142,17372,2682,1000,"course","Y","active","MS Excel Accessibility Techniques","Excel",NULL,NULL,"",135,2.25,45.00,"Document Accessibility","Learn how to create accessible Excel documents.","Karina Boycheva","1.0","excel, microsoft, office, documents, content, forms, charts, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
105,0,"N",NULL,59,0,4040,100,"premium content","N","active","Issues: Axe Auditor","Axe Auditor Enhanced Issues",NULL,NULL,"",NULL,NULL,0.00,"Web Accessibility",NULL,NULL,NULL,NULL
106,17262,"N",735,146,0,1045,100,"course","N","active","Responsive Design and Zoom (Citi-specific)","Responsive Design and Zoom - (Citi-only)",NULL,NULL,"Custom course for Citi",30,0.50,NULL,"Web Accessibility","Create accessible responsive designs for devices and viewports of any size and orientation, and for users with low vision who use zoom features.",NULL,"2.0","visual design, responsive design, mobile, phone, tablet, zoom, low vision, accessibility, web accessibility, disabilities"
107,17744,"N",NULL,155,0,9100,0,"course","N","in development","Product Certification: Deque University","Prod Cert: Deque University",NULL,NULL,"Internal use only",NULL,NULL,NULL,"Deque Employees",NULL,NULL,"1.0",NULL
108,17745,"N",NULL,153,0,9100,100,"course","N","active","Product Certification: Axe Auditor","Prod Cert: Axe Auditor",NULL,NULL,"",NULL,NULL,0.00,"Deque Employees",NULL,NULL,"1.0",NULL
109,17747,"N",NULL,150,0,9100,100,"course","N","active","Product Certification: Axe DevTools HTML","Prod Cert: Axe DevTools HTML",NULL,NULL,"",NULL,NULL,NULL,"Deque Employees",NULL,NULL,"1.0",NULL
112,17748,"N",NULL,151,0,9100,0,"course","N","in development","Product Certification: Axe DevTools iOS","Prod Cert: Axe DevTools iOS",NULL,NULL,"",NULL,NULL,NULL,"Deque Employees",NULL,NULL,"1.0",NULL
113,17749,"N",NULL,152,0,9100,0,"course","N","in development","Product Certification: Axe DevTools Android","Prod Cert: Axe DevTools Android",NULL,NULL,"",NULL,NULL,NULL,"Deque Employees",NULL,NULL,"1.0",NULL
114,17746,"N",NULL,154,0,9100,100,"course","N","active","Product Certification: Axe Monitor","Prod Cert: Axe Monitor",NULL,NULL,"",NULL,NULL,NULL,"Deque Employees",NULL,NULL,"1.0",NULL
115,17750,"N",NULL,0,0,9100,0,"course","N","in development","Product Certification: axe","Prod Cert: axe",NULL,NULL,"",NULL,NULL,NULL,"Deque Employees",NULL,NULL,"1.0",NULL
116,17788,"N",NULL,156,0,9100,0,"course","N","in development","Product Certification: Instructor-Led Training","Prod Cert: ILT",NULL,NULL,"",NULL,NULL,NULL,"Deque Employees",NULL,NULL,"1.0",NULL
117,18131,"N",5083,166,0,9100,100,"course","N","active","City of Seattle - Service Animals","City of Seattle - Service Animals",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
118,17380,"N",5083,149,0,9100,0,"course","N","deprecated","Disability Etiquette, Communication, and Customer Service","Seattle - Disability Etiquette",NULL,NULL,"Custom course for the City of Seattle",NULL,NULL,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
119,17381,"N",NULL,148,0,9100,1000,"course","N","active","Overview of the ADA: Basic Concepts","ADA Overview",NULL,NULL,"",15,0.25,NULL,"Accessibility Program Management",NULL,"Karina Boycheva","1.0",NULL
120,19031,"N",NULL,167,0,9100,0,"course","N","in development","Disability Empathy Lab","Empathy Lab",NULL,NULL,"",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL
121,19251,"N",5083,171,0,9100,100,"course","N","active","City of Seattle - Overview of the ADA and Why It Matters","City of Seattle - Overview of the ADA and Why",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
122,19244,"N",5083,170,0,9100,100,"course","N","active","City of Seattle - Disability Basics","City of Seattle - Disability Basics",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
123,19609,"N",NULL,172,0,9100,100,"course","N","retired","Deque Accessibility Assessments","Deque A11Y Assessments",NULL,NULL,"Internal Deque course for the Deque Way",NULL,NULL,NULL,"Deque Employees",NULL,NULL,NULL,NULL
124,0,"N",NULL,176,0,9100,0,"instructor-led training","N","active","Web Accessibility Bootcamp","Web Accessibility Bootcamp",NULL,NULL,"Instructor-led training",NULL,NULL,NULL,"Web Accessibility",NULL,NULL,NULL,NULL
125,0,"N",NULL,180,0,9100,0,"instructor-led training","N","active","Web Accessibility Bootcamp (with custom content)","Web Accessibility Bootcamp - custom",NULL,NULL,"",NULL,NULL,NULL,"Web Accessibility",NULL,NULL,NULL,NULL
127,0,"N",NULL,177,0,9100,0,"instructor-led training","N","active","Document Accessibility Bootcamp","Document Accessibility Bootcamp",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,NULL,NULL,NULL
128,0,"N",NULL,181,0,9100,0,"instructor-led training","N","active","Document Accessibility Bootcamp (with custom content)","Document Accessibility Bootcamp - custom",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,NULL,NULL,NULL
129,0,"N",NULL,178,0,9100,0,"instructor-led training","N","active","Native Mobile Apps Accessibility Bootcamp","Native Mobile Apps Bootcamp",NULL,NULL,"",NULL,NULL,NULL,"Mobile App Accessibility",NULL,NULL,NULL,NULL
130,0,"N",NULL,179,0,9100,0,"instructor-led training","N","active","Native Mobile Apps Accessibility Bootcamp (with custom content)","Native Mobile Apps Bootcamp - custom",NULL,NULL,"",NULL,NULL,NULL,"Mobile App Accessibility",NULL,NULL,NULL,NULL
131,19906,"N",5083,182,0,9100,100,"course","N","active","City of Seattle - Understanding Program Access Requirements","City of Seattle - Understanding Program Acces",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
133,19655,"N",NULL,173,0,9100,0,"course","N","retired","Axe Monitor 6 Advanced","Axe Monitor 6 Advanced",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,"Scott Cooley","1.0",NULL
134,19792,"N",NULL,174,0,9100,0,"course","N","retired","Axe Monitor 6 Basics","Axe Monitor 6 Basics",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,"Christopher Land","1.0",NULL
135,20276,"N",5083,184,0,9100,100,"course","N","active","City of Seattle - Serving Customers with Disabilities","City of Seattle - Serving Customers with Disa",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
136,20283,"N",5083,185,0,9100,100,"course","N","active","City of Seattle - Communicating Effectively - Part 1: Communication Strategies","City of Seattle - Communicating Effectively-1",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
137,20290,"N",5083,186,0,9100,100,"course","N","active","City of Seattle - Communicating Effectively - Part 2: Auxiliary Aids and Technology","City of Seattle - Communicating Effectively-2",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
138,20298,"N",NULL,187,0,9100,0,"course","N","retired","Attest HTML Basics","Attest HTML Basics",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,"Christopher Land","1.0",NULL
139,20357,"N",5083,188,0,9100,100,"course","N","active","City of Seattle - Planning Accessible Meetings","City of Seattle - Planning Accessible Meeting",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
140,20364,"N",5083,189,0,9100,100,"course","N","active","City of Seattle - Evaluating City Policies and Programs for Disability Access","City of Seattle - Evaluating City Policies an",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
141,20635,"N",NULL,190,0,9100,100,"user guide","N","retired","User Guide: Attest Ruby","Attest Ruby",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
142,16675,"N",NULL,183,0,9005,0,"user guide","N","in development","User Guide: Axe Pro","axe-pro",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
143,0,"N",NULL,194,0,9999,100,"course","N","active","SCORM - Accessibility Fundamentals: Disabilities, Guidelines, and Laws","SCORM Fundamentals",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
144,0,"N",NULL,195,0,9999,100,"course","N","active","SCORM - Designing an Accessible User Experience","SCORM Accessible UX",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
145,0,"N",NULL,196,0,9999,100,"course","N","active","SCORM - Basic Web An Document Accessibility for Content Contributors","SCORM Content Contributors",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
146,0,"N",NULL,197,0,9999,100,"course","N","active","SCORM - Section 508: Fundamentals of the Law and Technical Standards","SCORM Section 508 Fundamentals",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
147,0,"N",NULL,198,0,9999,100,"course","N","active","SCORM - IAAP CPACC Certification Preparation Course","SCORM IAAP CPACC",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
148,0,"N",NULL,199,0,9999,100,"course","N","active","SCORM - Semantic Structure and Navigation","SCORM Semantic Structure",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
149,0,"N",NULL,200,0,9999,100,"course","N","active","SCORM - Images, SVG, and Canvas","SCORM Images",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
150,0,"N",NULL,201,0,9999,100,"course","N","active","SCORM - Visual Design and Colors","SCORM Visual Design",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
151,0,"N",NULL,202,0,9999,100,"course","N","active","SCORM - Responsive Design and Zoom","SCORM Responsive",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
152,0,"N",NULL,203,0,9999,100,"course","N","active","SCORM - Multimedia, Animations, and Motion","SCORM Multimedia",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
153,0,"N",NULL,204,0,9999,100,"course","N","active","SCORM - Device-Independent User Input Methods","SCORM Device Independent",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
154,0,"N",NULL,205,0,9999,100,"course","N","active","SCORM - Form Labels, Instructions, and Validation","SCORM Forms",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
155,0,"N",NULL,206,0,9999,100,"course","N","active","SCORM - Dynamic Updates, AJAX, and Single Page Apps","SCORM Dynamic Updates",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
156,0,"N",NULL,207,0,9999,100,"course","N","active","SCORM - Custom JavaScript/ARIA Widgets","SCORM Custom Widgets",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
157,0,"N",NULL,208,0,9999,100,"course","N","active","SCORM - Web Accessibility Testing: Basic Methods and Tools","SCORM Testing: Basic",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
158,0,"N",NULL,209,0,9999,100,"course","N","active","SCORM - Web Accessibility Testing: Screen Readers","SCORM Testing: Screen Readers",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
159,0,"N",NULL,210,0,9999,100,"course","N","active","SCORM - Web Accessibility Testing: WCAG Conformance","SCORM Testing: WCAG",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
160,0,"N",NULL,211,0,9999,100,"course","N","active","SCORM - MS Word Accessibility","SCORM MS Word",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
161,0,"N",NULL,212,0,9999,100,"course","N","active","SCORM - MS PowerPoint Accessibility","SCORM MS PowerPoint",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
162,0,"N",NULL,213,0,9999,100,"course","N","active","SCORM - MS Excel Accessibility","SCORM MS Excel",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
163,0,"N",NULL,214,0,9999,100,"course","N","active","SCORM - InDesign Accessibility","SCORM InDesign",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
164,0,"N",NULL,215,0,9999,100,"course","N","active","SCORM - PDF Accessibility","SCORM PDF",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
165,0,"N",NULL,216,0,9999,100,"course","N","active","SCORM - EPUB Accessibility","SCORM EPUB",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
166,0,"N",NULL,217,0,9999,100,"course","N","active","SCORM - Accessibility Program Management","SCORM Program Management",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
167,0,"N",NULL,218,0,9999,100,"course","N","retired","SCORM - iOS Mobile App Accessibility","SCORM Mobile iOS",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
168,0,"N",NULL,219,0,9999,100,"course","N","retired","SCORM - Android Mobile App Accessibility","SCORM Mobile Android",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
169,23764,"N",NULL,220,0,10000,100,"course","N","active","SCORM - Wells Fargo Full Curriculum","SCORM Wells Fargo Full Curriculum",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
170,0,"N",NULL,221,0,9999,100,"course","N","active","SCORM - Axe Monitor Basics","SCORM Axe Monitor Basics",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
171,0,"N",NULL,222,0,9999,100,"course","N","active","SCORM - Axe Monitor Advanced","SCORM Axe Monitor Advanced",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
172,24188,"N",NULL,223,0,9999,100,"course","N","active","SCORM - Citi Full Curriculum","SCORM Citi Full Curriculum",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
173,24306,"N",NULL,224,0,9999,0,"course","N","in development","Trusted Tester Accessibility Testing Methodology","Trusted Tester",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,24316,"N",NULL,225,0,9999,1000,"course","N","active","Angular Accessibility","Angular Accessibility",NULL,NULL,"",NULL,0.50,NULL,"Web Accessibility",NULL,NULL,NULL,NULL
176,24369,"N",NULL,226,0,9999,1000,"course","N","active","Serving Customers with Disabilities","Customer Service - Disabilities",NULL,NULL,"",15,0.25,NULL,"Concepts and Requirements",NULL,"Karina Boycheva","1.0",NULL
177,24348,"N",NULL,227,0,9999,1000,"course","N","active","Disability Etiquette Basics","Disability Basics",NULL,NULL,"",15,0.25,NULL,"Concepts and Requirements",NULL,"Karina Boycheva","1.0",NULL
178,24668,"N",5349,228,0,9999,100,"course","N","active","Accessibility Roles and Responsibilities","Accessibility Roles and Responsibilities - (C",NULL,NULL,"",15,0.25,NULL,NULL,NULL,NULL,"2.0",NULL
179,24731,"N",NULL,229,0,9999,1000,"course","N","active","Effective Communication, Part 1: Communicating in Person","Communicating in Person",NULL,NULL,"",15,0.25,NULL,"Concepts and Requirements",NULL,"Karina Boycheva","1.0",NULL
180,24749,"N",NULL,230,0,9999,1000,"course","N","active","Effective Communication, Part 2: Remote Communication","Remote Communication",NULL,NULL,"",15,0.25,NULL,"Concepts and Requirements",NULL,"Karina Boycheva","1.0",NULL
181,19800,"N",5083,175,0,9100,100,"course","N","active","City of Seattle - Working with Grants, Contracts and Partners","City of Seattle - Working with Grants, Contra",NULL,NULL,"Custom course for the City of Seattle",15,0.25,NULL,NULL,NULL,"Karina Boycheva","1.0",NULL
183,25873,"N",NULL,232,0,9100,100,"user guide","N","retired","User Guide: Attest C#","Attest C#",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
184,25891,"N",NULL,231,0,9100,1000,"course","N","active","Advanced PDF Accessibility: Complex Tables and Forms","Advanced PDF",NULL,NULL,"",45,0.75,NULL,"Document Accessibility",NULL,"Karina Boycheva","2.0",NULL
185,28522,"N",NULL,236,0,2631,1000,"course","Y","active","Android Accessibility Features","Android Features",NULL,NULL,"New 3.0 Module",45,0.75,45.00,"Mobile App Accessibility","Learn how to make native mobile Android apps accessible.","Sierra Obryan","3.0","android, talkback, native mobile, apps, mobile, phone, tablet, software, accessibility, web accessibility, disabilities"
186,28616,"N",NULL,129,0,1132,0,"course","Y","in development","iOS Native Mobile App Accessibility","iOS Apps 3.0",NULL,NULL,"",112,2.00,45.00,"Mobile App Accessibility","Learn how to make native mobile iOS apps accessible.",NULL,"3.0","ios, native mobile, apps, mobile, phone, tablet, software, accessibility, web accessibility, disabilities"
187,27204,"N",NULL,192,0,9100,100,"user guide","N","retired","User Guide: Attest Node.js","Attest Node.js",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
191,25910,"N",NULL,191,0,9100,100,"user guide","N","retired","User Guide: Attest Java","Attest Java",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
192,24499,"N",NULL,235,0,2121,1000,"course","N","active","MS Word 2016 Accessibility Techniques (Office 2016 Only)","Word 2016",NULL,NULL,"",60,1.00,45.00,"Document Accessibility","Learn how to create accessible documents in Word 2016.","Karina Boycheva, Paul Bohman","1.0","word, 2016, microsoft, office, documents, content, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities, windows"
196,32647,"N",NULL,238,0,9000,100,"user guide","N","active","User Guide: Axe Expert Extension","Axe Expert Extension User Guide",NULL,NULL,"(Viewable by everyone.)",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
197,32897,"N",NULL,239,0,9000,1000,"user guide","N","active","User Guide: axe Monitor API","axe Monitor API",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
198,33512,"N",NULL,240,0,9000,1000,"user guide","N","active","User Guide: axe Reports","axe Reports",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
199,33526,"N",NULL,241,0,1000,1000,"course","N","active","Mobile App Accessibility Fundamentals (deprecated)","Mobile App Fundamentals - deprecated",NULL,NULL,"",60,1.00,45.00,"Mobile App Accessibility",NULL,"Chris McMeeking","1.0","android, ios, app, mobile, talkback, voiceover"
200,0,"N",NULL,243,0,9999,100,"course","N","active","SCORM - Overview of the ADA: Basic Concepts","SCORM Overview of the ADA",NULL,NULL,"",NULL,NULL,NULL,"SCORM Exports",NULL,NULL,NULL,NULL
201,34303,"N",NULL,242,0,9999,1000,"course","N","active","IAAP Certification Quick Guide","IAAP Certification Quick Guide",NULL,NULL,"",15,0.00,0.00,"Concepts and Requirements",NULL,"Karina Boycheva","1.0",NULL
202,3434,"N",NULL,0,0,9999,0,"reference","N","in development","Reference Library","Reference Library",NULL,NULL,"",NULL,NULL,NULL,"Reference Library",NULL,NULL,NULL,NULL
203,50729,"N",1170,244,0,9999,1000,"course","N","active","Verizon Document Accessibility Fundamentals","Document Accessibility Fundamentals",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
205,50743,"N",1170,245,0,9999,1000,"course","N","active","Verizon Google Docs Accessibility","Google Docs (Verizon)",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
206,50751,"N",1170,246,0,9999,1000,"course","N","active","Verizon Google Slides Accessibility","Google Slides (Verizon)",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
207,50759,"N",1170,248,0,9999,1000,"course","N","active","Verizon Microsoft Word Accessibility","Microsoft Word (Verizon)",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
208,50767,"N",1170,249,0,9999,1000,"course","N","active","Verizon Microsoft PowerPoint Accessibility","Microsoft PowerPoint (Verizon)",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
209,50775,"N",1170,247,0,9999,1000,"course","N","active","Verizon PDF Accessibility","PDF (Verizon)",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
210,55251,"N",13107,250,0,9999,1000,"course","N","active","Bell Canada - Accessibility for Content Creators","Bell Canada - Content Creators",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
212,55258,"N",13107,251,0,9999,1000,"course","N","active","Bell Canada - Accessible UI/UX","Bell Canada - Accessible UI/UX",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
213,55265,"N",13107,252,0,9999,1000,"course","N","active","Bell Canada - Accessibility for Front End Developers","Bell Canada - Front End Dev",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
214,55272,"N",13107,253,0,9999,1000,"course","N","active","Bell Canada - Accessibility for QA Testers","Bell Canada - Accessibility for QA Testers",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
215,55279,"N",13107,254,0,9999,1000,"course","N","active","Bell Canada - Document Accessibility","Bell Canada - Document Accessibility",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
216,55286,"N",13107,255,0,9999,1000,"course","N","active","Bell Canada - Native Mobile App Accessibility","Bell Canada - Native Mobile Apps",NULL,NULL,"",NULL,NULL,NULL,"Document Accessibility",NULL,"Karina Boycheva","1.0",NULL
218,66957,"N",5531,259,0,1000,1000,"course","Y","active","Accessibility Fundamentals (T-Mobile)","T-Mobile Fundamentals 2.0",NULL,NULL,"New 2.0 Module 1",90,1.50,45.00,"Web Accessibility","Overview of important accessibility concepts, including types of disabilities, how people with disabilities use the web, assistive technologies, guidelines, laws, myths and misconceptions.","Paul Bohman","2.0","web accessibility, disabilities, blind, low vision, colorblind, deaf, motor, cognitive, speech, assistive technologies, laws, guidelines, wcag, section 508, ada, en 301 549, aoda, acaa, cvaa"
219,66998,"N",5531,264,0,1110,1000,"course","Y","active","Web Accessibility Testing: Basic Methods and Tools (T-Mobile)","T-Mobile Basic Testing Methods 2.0",NULL,NULL,"New 2.0 Module 12",120,2.00,45.00,"Web Accessibility","Learn to test for web accessibility using manual methods, checklists, and software tools.","Paul Bohman","2.0","axe, attest, comply, testing, checklists, automated checks, manual checks, process, accessibility, web accessibility, disabilities"
221,67075,"N",5531,265,0,1010,1000,"course","Y","active","Web Accessibility Testing: Screen Readers (T-Mobile)","T-Mobile Screen Readers 2.0",NULL,NULL,"New 2.0 Module 2",90,1.50,45.00,"Web Accessibility","Learn to use screen readers for web accessibility testing.","Paul Bohman","2.0","screen readers, blind, low vision, jaws, nvda, voiceover, talkback, accessibilty API, narrator, chromevox, accessibility, web accessibility, disabilities"
222,67180,"N",5531,260,0,1070,1000,"course","Y","active","Forms (T-Mobile)","T-Mobile Forms 2.0",NULL,NULL,"New 2.0 Module 8",90,1.50,45.00,"Web Accessibility","Create accessible forms with labels for inputs and groups of inputs, instructions, and validation feedback, including in dynamic forms.","Paul Bohman","2.0","forms, screen readers, labels, fieldset, legend, input, buttons, instructions, form validation, error messages, success messages, custom widgets, dynamic forms, accessibility, web accessibility, disabilities"
